time,bidPrice,offerPrice,bidQty,offerQty
0,109.85,110.15,85,90
1,109.90,110.10,96,90
2,109.75,110.25,62,93
3,109.90,110.10,92,66
4,109.95,110.05,63,79
5,109.85,110.15,86,99
6,109.80,110.20,85,65
7,109.85,110.15,82,73
8,109.95,110.05,63,86
9,109.75,110.25,61,70
10,109.90,110.10,50,96
11,109.90,110.10,88,82
12,109.80,110.20,61,98
13,109.85,110.15,92,97
14,109.60,110.40,76,61
15,109.90,110.10,63,79
16,109.90,110.10,92,65
17,109.95,110.05,53,53
18,109.90,110.10,98,59
19,109.75,110.25,64,84
20,109.75,110.05,95,74
21,109.85,109.95,89,98
22,109.70,110.10,97,52
23,109.75,110.05,59,63
24,109.85,109.95,88,80
25,109.75,110.05,60,68
26,109.75,110.05,90,88
27,109.80,110.00,74,55
28,109.70,110.10,65,90
29,109.85,109.95,56,58
30,109.65,110.15,89,71
31,109.70,110.10,54,77
32,109.75,110.05,65,61
33,109.65,110.15,52,57
34,109.75,110.05,88,65
35,109.85,109.95,58,51
36,109.75,110.05,76,84
37,109.75,110.05,51,58
38,109.75,110.05,97,70
39,109.80,110.00,62,70
40,109.80,110.00,78,58
41,109.70,110.10,98,88
42,109.70,110.10,67,71
43,109.65,110.15,67,75
44,109.65,110.15,79,66
45,109.75,110.05,84,85
46,109.85,109.95,78,78
47,109.70,110.10,93,85
48,109.80,110.00,56,55
49,109.85,109.95,66,96
50,109.75,110.05,61,66
51,109.60,110.20,67,52
52,109.70,110.10,80,91
53,109.75,110.05,85,67
54,109.75,110.05,81,64
55,109.70,110.10,56,63
56,109.80,110.00,78,86
57,109.70,110.10,99,88
58,109.70,110.10,80,75
59,109.75,110.05,57,74
60,109.85,109.95,86,65
61,109.55,110.25,71,86
62,109.60,110.20,73,98
63,109.70,110.10,77,55
64,109.80,110.00,65,56
65,109.80,110.00,71,97
66,109.75,110.05,95,74
67,109.85,109.95,59,69
68,109.80,110.00,79,91
69,109.75,110.05,75,91
70,109.85,109.95,72,52
71,109.80,110.00,87,57
72,109.80,110.00,60,96
73,109.75,110.05,93,76
74,109.65,110.15,73,74
75,109.85,109.95,59,69
76,109.75,110.05,79,96
77,109.80,110.00,77,96
78,109.70,110.10,74,72
79,109.75,110.05,75,60
80,109.75,110.05,53,94
81,109.80,110.00,84,75
82,109.65,110.15,89,66
83,109.70,110.10,93,88
84,109.75,110.05,83,93
85,109.65,110.15,80,59
86,109.75,110.05,81,98
87,109.70,110.10,96,68
88,109.70,110.10,51,56
89,109.80,110.00,71,77
90,109.65,110.15,66,55
91,109.70,110.10,54,92
92,109.85,109.95,94,93
93,109.80,110.00,64,83
94,109.70,110.10,87,80
95,109.70,110.10,81,64
96,109.75,110.05,74,94
97,109.65,110.15,76,86
98,109.70,110.10,93,89
99,109.70,110.10,51,83
100,109.60,110.20,77,75
101,109.80,110.00,71,60
102,109.75,110.05,59,74
103,109.85,109.95,63,54
104,109.80,110.00,86,65
105,109.75,110.05,73,80
106,109.85,109.95,57,86
107,109.75,110.05,92,58
108,109.80,110.00,60,58
109,109.65,110.15,60,86
110,109.70,110.10,71,72
111,109.75,110.05,56,83
112,109.80,110.00,68,62
113,109.70,110.10,63,57
114,109.85,109.95,72,82
115,109.80,110.00,54,98
116,109.85,109.95,81,59
117,109.85,109.95,65,93
118,109.75,110.05,94,95
119,109.85,109.95,72,64
120,109.70,110.10,81,56
121,109.70,110.10,73,92
122,109.70,110.10,62,73
123,109.80,110.00,92,88
124,109.80,110.00,99,80
125,109.80,110.00,78,75
126,109.65,110.15,75,89
127,109.85,109.95,91,73
128,109.80,110.00,74,66
129,109.70,110.10,60,67
130,109.65,110.15,67,67
131,109.85,109.95,74,87
132,109.80,110.00,69,81
133,109.70,110.10,88,53
134,109.80,110.00,58,57
135,109.80,110.00,79,87
136,109.75,110.05,91,52
137,109.85,109.95,77,57
138,109.70,110.10,53,70
139,109.75,110.05,61,71
140,109.75,110.05,73,76
141,109.70,110.10,96,75
142,109.80,110.00,84,67
143,109.75,110.05,66,99
144,109.70,110.10,69,78
145,109.85,109.95,99,55
146,109.75,110.05,64,89
147,109.85,109.95,70,76
148,109.70,110.10,71,69
149,109.70,110.10,68,59
150,109.70,110.10,92,52
151,109.80,110.00,65,88
152,109.75,110.05,60,92
153,109.75,110.05,61,53
154,109.85,109.95,87,67
155,109.80,110.00,82,76
156,109.75,110.05,71,67
157,109.85,109.95,55,59
158,109.70,110.10,57,96
159,109.65,110.15,77,60
160,109.80,110.00,69,72
161,109.75,110.05,54,73
162,109.80,110.00,87,75
163,109.75,110.05,66,87
164,109.80,110.00,95,71
165,109.55,110.25,86,52
166,109.75,110.05,68,57
167,109.85,109.95,97,55
168,109.70,110.10,95,61
169,109.85,109.95,97,52
170,109.80,110.00,75,93
171,109.80,110.00,98,93
172,109.75,110.05,86,80
173,109.70,110.10,83,75
174,109.75,110.05,60,91
175,109.85,109.95,83,64
176,109.65,110.15,93,94
177,109.85,109.95,55,96
178,109.75,110.05,53,54
179,109.70,110.10,77,93
180,109.70,110.10,100,86
181,109.85,109.95,86,88
182,109.75,110.05,66,75
183,109.60,110.20,91,79
184,109.85,109.95,82,95
185,109.75,110.05,84,95
186,109.80,110.00,54,97
187,109.75,110.05,82,71
188,109.75,110.05,53,58
189,109.80,110.00,95,78
