time,bidPrice,offerPrice,bidQty,offerQty
0,99.95,100.25,61,61
1,100.00,100.20,65,71
2,100.05,100.15,88,64
3,100.00,100.40,92,70
4,100.25,100.35,96,71
5,100.15,100.25,89,64
6,100.15,100.25,66,52
7,100.10,100.30,74,100
8,100.15,100.25,57,78
9,100.10,100.30,91,81
10,100.10,100.30,60,59
11,100.20,100.40,54,82
12,100.25,100.35,65,86
13,100.25,100.35,63,56
14,100.20,100.40,93,86
15,100.20,100.40,75,91
16,100.30,100.50,78,61
17,100.35,100.45,77,95
18,100.30,100.50,75,55
19,100.25,100.35,76,86
20,100.10,100.30,66,53
21,100.15,100.25,56,89
22,100.10,100.30,97,86
23,100.15,100.25,88,55
24,100.15,100.45,82,64
25,100.15,100.25,68,50
26,100.00,100.40,52,90
27,100.15,100.25,89,78
28,100.25,100.35,69,67
29,100.30,100.50,71,53
30,100.35,100.45,99,53
31,100.35,100.45,55,74
32,100.25,100.35,94,99
33,100.10,100.30,84,94
34,100.10,100.30,63,81
35,100.15,100.25,72,81
36,100.20,100.40,90,52
37,100.25,100.35,65,67
38,100.25,100.35,75,87
39,100.25,100.35,80,67
40,100.10,100.30,65,64
41,100.05,100.15,96,94
42,99.90,100.10,92,94
43,100.05,100.15,91,99
44,100.05,100.15,90,84
45,100.00,100.20,72,97
46,99.90,100.10,80,98
47,99.90,100.10,54,52
48,99.80,100.00,90,61
49,99.75,100.05,67,61
50,99.85,99.95,52,87
51,99.85,99.95,60,92
52,99.75,100.05,92,90
53,99.75,99.85,83,67
54,99.70,99.90,73,55
55,99.65,99.95,60,80
56,99.70,99.90,63,68
57,99.75,99.85,75,61
58,99.70,99.90,94,51
59,99.75,99.85,83,97
60,99.70,99.90,72,83
61,99.75,99.85,59,65
62,99.70,99.90,99,85
63,99.65,99.75,99,73
64,99.65,99.75,69,92
65,99.65,99.75,78,76
66,99.55,99.65,88,83
67,99.50,99.70,79,77
68,99.55,99.65,88,99
69,99.55,99.65,65,84
70,99.60,99.80,61,87
71,99.60,99.80,74,69
72,99.70,99.90,94,87
73,99.60,99.80,77,93
74,99.65,99.75,57,95
75,99.60,99.80,94,88
76,99.55,99.85,70,62
77,99.65,99.75,52,89
78,99.50,99.90,87,77
79,99.55,99.85,91,99
80,99.65,99.75,100,82
81,99.75,99.85,58,66
82,99.65,99.95,63,67
83,99.65,99.75,75,81
