time,bidPrice,offerPrice,bidQty,offerQty
0,100.05,100.15,79,52
1,100.05,100.15,60,94
2,100.05,100.15,90,78
3,100.15,100.25,52,58
4,100.25,100.35,71,77
5,100.15,100.25,63,71
6,100.15,100.25,97,59
7,100.15,100.25,66,92
8,100.15,100.25,90,81
9,100.15,100.25,52,61
10,100.15,100.25,59,53
11,100.25,100.35,60,56
12,100.25,100.35,83,98
13,100.25,100.35,94,67
14,100.25,100.35,93,81
15,100.25,100.35,81,97
16,100.35,100.45,60,68
17,100.35,100.45,80,67
18,100.35,100.45,52,89
19,100.35,100.45,84,78
20,100.25,100.35,54,54
21,100.25,100.35,60,88
22,100.25,100.35,51,92
23,100.25,100.35,60,64
24,100.35,100.45,81,90
25,100.25,100.35,59,88
26,100.25,100.35,58,95
27,100.25,100.35,99,86
28,100.35,100.45,56,88
29,100.45,100.55,97,100
30,100.45,100.55,55,54
31,100.45,100.55,53,62
32,100.45,100.55,55,56
33,100.35,100.45,69,86
34,100.35,100.45,69,96
35,100.35,100.45,97,85
36,100.45,100.55,99,97
37,100.55,100.65,96,95
38,100.55,100.65,73,95
39,100.55,100.65,56,70
40,100.45,100.55,50,62
41,100.35,100.45,75,76
42,100.25,100.35,62,57
43,100.35,100.45,77,58
44,100.35,100.45,90,53
45,100.35,100.45,96,70
46,100.25,100.35,89,57
47,100.25,100.35,84,59
48,100.15,100.25,97,84
49,100.15,100.25,54,73
50,100.15,100.25,64,73
51,100.15,100.25,61,68
52,100.15,100.25,67,53
53,100.05,100.15,88,80
54,100.05,100.15,74,68
55,100.05,100.15,93,91
56,100.05,100.15,79,95
57,100.05,100.15,97,84
58,100.05,100.15,96,94
59,100.05,100.15,71,58
60,100.05,100.15,98,63
61,100.05,100.15,81,93
62,100.05,100.15,75,52
63,99.95,100.05,75,70
64,99.90,100.10,83,52
65,99.95,100.05,94,68
66,99.85,99.95,88,89
67,99.85,99.95,60,87
68,99.85,99.95,63,58
69,99.85,99.95,89,71
70,99.85,99.95,90,96
71,99.85,99.95,90,71
72,99.95,100.05,98,60
73,99.85,99.95,94,98
74,99.85,99.95,94,52
75,99.85,99.95,60,69
76,99.85,99.95,61,74
77,99.85,99.95,86,55
78,99.85,99.95,60,71
79,99.85,99.95,89,99
80,99.75,99.85,73,64
81,99.75,99.85,97,76
82,99.75,99.85,69,84
83,99.65,99.75,92,69
84,99.75,99.85,75,82
85,99.85,99.95,61,58
86,99.95,100.05,69,85
87,99.95,100.05,68,87
88,99.85,99.95,88,80
89,99.95,100.05,55,62
90,99.95,100.05,86,64
91,100.05,100.15,89,73
92,100.05,100.15,57,76
93,100.05,100.15,54,67
94,100.05,100.15,58,68
95,100.05,100.15,56,89
96,100.05,100.15,94,91
97,100.15,100.25,80,85
98,100.15,100.25,99,62
99,100.15,100.25,90,94
100,100.25,100.35,55,52
101,100.15,100.25,86,96
102,100.05,100.15,81,81
103,100.05,100.15,72,76
104,99.95,100.05,75,87
105,100.05,100.15,94,60
106,100.05,100.15,60,71
107,100.05,100.15,71,75
108,100.15,100.25,75,84
109,100.25,100.35,75,85
110,100.35,100.45,71,88
111,100.35,100.45,84,78
112,100.35,100.45,59,88
113,100.40,100.60,62,92
114,100.45,100.55,58,94
115,100.45,100.55,98,57
116,100.45,100.55,71,83
117,100.45,100.55,99,78
118,100.45,100.55,99,76
119,100.45,100.55,77,85
120,100.45,100.55,98,54
121,100.35,100.45,69,68
122,100.35,100.45,100,81
123,100.45,100.55,97,82
124,100.45,100.55,62,86
125,100.35,100.65,84,96
126,100.45,100.55,90,97
127,100.55,100.65,92,67
128,100.55,100.65,56,99
129,100.55,100.65,88,56
130,100.55,100.65,54,89
131,100.55,100.65,73,66
132,100.55,100.65,64,71
133,100.55,100.65,69,97
134,100.55,100.65,80,53
135,100.55,100.65,92,92
136,100.55,100.65,59,81
137,100.55,100.65,63,85
138,100.55,100.65,92,78
139,100.45,100.55,99,65
140,100.30,100.50,88,61
141,100.35,100.45,57,54
142,100.35,100.45,67,61
143,100.35,100.45,92,94
144,100.45,100.55,92,72
145,100.45,100.55,74,94
146,100.35,100.45,71,82
147,100.45,100.55,68,91
148,100.35,100.45,73,91
149,100.35,100.45,54,97
150,100.35,100.45,72,96
151,100.45,100.55,70,80
152,100.45,100.55,66,51
153,100.45,100.55,61,92
154,100.45,100.55,78,90
155,100.45,100.55,63,61
156,100.55,100.65,81,87
157,100.45,100.55,50,84
158,100.35,100.45,65,84
159,100.35,100.45,77,77
160,100.35,100.45,68,60
161,100.45,100.55,65,57
162,100.45,100.55,84,99
163,100.45,100.55,65,84
164,100.35,100.45,65,68
165,100.35,100.45,58,86
166,100.25,100.35,92,75
167,100.15,100.25,98,54
168,100.25,100.35,74,82
169,100.25,100.35,50,96
170,100.25,100.35,72,56
171,100.25,100.35,84,69
172,100.25,100.35,63,63
173,100.25,100.35,50,82
174,100.15,100.25,56,55
175,100.15,100.25,54,72
176,100.15,100.25,68,88
177,100.15,100.25,64,87
178,100.10,100.30,73,93
179,100.15,100.25,61,91
180,100.15,100.25,85,62
181,100.05,100.15,84,96
182,100.05,100.15,75,56
183,99.95,100.05,94,81
184,99.95,100.05,88,66
185,99.85,99.95,64,77
186,99.75,99.85,84,98
187,99.75,99.85,62,98
188,99.75,99.85,74,78
189,99.85,99.95,100,77
190,99.75,99.85,58,67
191,99.75,99.85,73,93
192,99.75,99.85,59,55
193,99.60,99.80,85,92
